gx,gy,gz,timestamp
191,-163,-20,2025-09-03 23:25:39
112,-149,131,2025-09-03 23:25:40
36,-201,-116,2025-09-03 23:25:41
-33,105,150,2025-09-03 23:25:41
-16,-26,159,2025-09-03 23:25:42
49,212,28,2025-09-03 23:25:43
159,-47,-95,2025-09-03 23:25:43
-130,-181,46,2025-09-03 23:25:44
-21,-71,-50,2025-09-03 23:25:44
-179,228,-14,2025-09-03 23:25:45
-60,-168,-24,2025-09-03 23:25:45
-117,18,-213,2025-09-03 23:25:45
-49,40,-101,2025-09-03 23:25:46
148,-162,90,2025-09-03 23:25:46
23,-36,250,2025-09-03 23:25:47
-25,72,-21,2025-09-03 23:25:47
-69,118,67,2025-09-03 23:25:48
124,-156,236,2025-09-03 23:25:48
153,76,167,2025-09-03 23:25:48
-183,-132,152,2025-09-03 23:25:49
-74,184,79,2025-09-03 23:25:49
1,-78,119,2025-09-03 23:25:50
-158,-96,153,2025-09-03 23:25:50
87,-49,-84,2025-09-03 23:25:50
39,-118,-16,2025-09-03 23:25:51
169,-125,-64,2025-09-03 23:25:51
-156,36,233,2025-09-03 23:25:52
64,-14,-206,2025-09-03 23:25:52
109,-11,-45,2025-09-03 23:25:52
-78,-161,-77,2025-09-03 23:25:53
197,59,-126,2025-09-03 23:25:53
-110,-48,84,2025-09-03 23:25:54
-50,-185,19,2025-09-03 23:25:54
-90,152,111,2025-09-03 23:25:55
6,-197,-126,2025-09-03 23:25:55
-115,103,181,2025-09-03 23:25:55
80,28,192,2025-09-03 23:25:56
-74,73,0,2025-09-03 23:25:56
134,-49,160,2025-09-03 23:25:57
-86,239,-185,2025-09-03 23:25:57
10,137,39,2025-09-03 23:25:58
-139,-127,-68,2025-09-03 23:25:58
187,47,-163,2025-09-03 23:25:58
233,-215,115,2025-09-03 23:25:59
219,-24,65,2025-09-03 23:25:59
-191,154,45,2025-09-03 23:26:00
67,-169,154,2025-09-03 23:26:00
14,-83,93,2025-09-03 23:26:01
-178,-127,181,2025-09-03 23:26:01
119,14,12,2025-09-03 23:26:01
-90,247,51,2025-09-03 23:26:02
-3,-192,-22,2025-09-03 23:26:02
-15,-205,136,2025-09-03 23:26:03
20,-13,-167,2025-09-03 23:26:03
144,123,-238,2025-09-03 23:26:03
-204,219,-129,2025-09-03 23:26:04
-155,97,14,2025-09-03 23:26:04
-157,-213,49,2025-09-03 23:26:05
-70,125,58,2025-09-03 23:26:05
-83,-48,-205,2025-09-03 23:26:06
125,-22,149,2025-09-03 23:26:07
-127,-49,-231,2025-09-03 23:26:07
-69,-9,-143,2025-09-03 23:26:08
-108,172,-7,2025-09-03 23:26:08
96,195,23,2025-09-03 23:26:09
201,-29,162,2025-09-03 23:26:09
192,-165,-104,2025-09-03 23:26:10
82,-194,81,2025-09-03 23:26:10
-21,-149,-243,2025-09-03 23:26:11
-135,-242,-142,2025-09-03 23:26:11
153,-39,222,2025-09-03 23:26:11
195,-201,-241,2025-09-03 23:26:12
-165,-113,-196,2025-09-03 23:26:12
246,-242,222,2025-09-03 23:26:13
-10,51,13,2025-09-03 23:26:13
-91,209,-67,2025-09-03 23:26:13
-78,42,1,2025-09-03 23:26:14
74,250,59,2025-09-03 23:26:14
81,175,3,2025-09-03 23:26:15
68,129,175,2025-09-03 23:26:15
169,151,196,2025-09-03 23:26:15
68,-148,-66,2025-09-03 23:26:16
-171,209,-90,2025-09-03 23:26:16
-27,-239,-246,2025-09-03 23:26:17
140,-184,218,2025-09-03 23:26:17
233,182,-196,2025-09-03 23:26:18
-225,-244,-244,2025-09-03 23:26:18
194,95,230,2025-09-03 23:26:18
-169,244,72,2025-09-03 23:26:19
-171,-206,-173,2025-09-03 23:26:19
-228,-129,-65,2025-09-03 23:26:19
210,-246,-137,2025-09-03 23:26:20
201,-73,-76,2025-09-03 23:26:20
23,15,179,2025-09-03 23:26:21
36,-42,164,2025-09-03 23:26:21
-86,38,-145,2025-09-03 23:26:21
123,-219,247,2025-09-03 23:26:22
197,-88,-82,2025-09-03 23:26:23
174,-186,-77,2025-09-03 23:26:23
87,-129,148,2025-09-03 23:26:23
-225,137,140,2025-09-03 23:26:24
-163,86,-10,2025-09-03 23:26:24
87,16,-148,2025-09-03 23:26:25
-42,-118,136,2025-09-03 23:26:25
-10,43,5,2025-09-03 23:26:25
-193,-242,-66,2025-09-03 23:26:26
-74,51,-152,2025-09-03 23:26:26
-239,-12,-108,2025-09-03 23:26:27
-187,-227,-219,2025-09-03 23:26:27
-71,196,-230,2025-09-03 23:26:27
-102,201,34,2025-09-03 23:26:28
-151,56,-64,2025-09-03 23:26:28
39,-154,9,2025-09-03 23:26:29
-104,209,91,2025-09-03 23:26:29
61,-204,-121,2025-09-03 23:26:29
-153,-192,-67,2025-09-03 23:26:30
152,-227,207,2025-09-03 23:26:30
35,37,61,2025-09-03 23:26:31
-186,-164,-74,2025-09-03 23:26:31
-70,46,-108,2025-09-03 23:26:31
31,-64,194,2025-09-03 23:26:32
-47,129,225,2025-09-03 23:26:32
11,-34,-205,2025-09-03 23:26:33
-164,-44,155,2025-09-03 23:26:34
31,-51,171,2025-09-03 23:26:34
129,-220,-220,2025-09-03 23:26:35
146,35,84,2025-09-03 23:26:35
-165,-59,-205,2025-09-03 23:26:36
118,-24,25,2025-09-03 23:26:36
-142,-210,121,2025-09-03 23:26:36
111,25,-72,2025-09-03 23:26:37
129,-158,-59,2025-09-03 23:26:37
205,25,129,2025-09-03 23:26:38
-14,230,250,2025-09-03 23:26:38
33,246,-130,2025-09-03 23:26:38
-131,232,219,2025-09-03 23:26:39
-33,-173,206,2025-09-03 23:26:39
-68,179,32,2025-09-03 23:26:40
201,-149,128,2025-09-03 23:26:40
-23,-139,3,2025-09-03 23:26:41
-162,-137,-160,2025-09-03 23:26:41
57,187,122,2025-09-03 23:26:42
-238,-46,-52,2025-09-03 23:26:42
172,211,1,2025-09-03 23:26:42
-193,-45,-230,2025-09-03 23:26:43
-198,224,18,2025-09-03 23:26:43
